ID,Marca temporal,¿Qué grupo lo/la está encuestando?,¿En qué horario está llenando el formulario?,¿En qué torre se encuentra?,Piso,Ambiente,Nivel de ventilación,Nivel de seguridad,Nivel de sensación térmica,Intensidad de la luz,Nivel de conservación,Nivel de privacidad,Nivel de comodidad,Frecuencia de uso del ambiente,Avance de actividades curriculares,Nivel de facilidad para estudiar en el ambiente
9A3-2904-09,29/04/2026 9:45:27,Grupo 1,09,A,9,3,4,5,2,2,4,3,3,2,5,4
3B2-2904-09,29/04/2026 9:50:13,Grupo 1,09,B,3,2,4,5,3,2,4,4,4,2,3,3
9A3-2904-09,29/04/2026 9:52:37,Grupo 1,09,A,9,3,3,5,2,2,3,4,3,3,4,3
3A3-2904-09,29/04/2026 10:05:06,Grupo 1,09,A,3,3,1,1,3,3,4,3,3,3,4,4
7A2-2904-09,29/04/2026 11:07:40,Grupo 1,09,A,7,2,5,5,2,1,5,1,3,2,2,2
7A2-2904-09,29/04/2026 11:08:06,Grupo 1,09,A,7,2,4,5,4,2,4,3,3,2,3,3
9A1-2904-09,29/04/2026 11:11:21,Grupo 1,09,A,9,1,5,5,1,1,4,5,5,2,3,4
9A1-2904-09,29/04/2026 11:27:25,Grupo 1,09,A,9,1,5,5,3,2,4,4,4,2,4,4
9A2-2904-13,29/04/2026 11:57:32,Grupo 1,13,A,9,2,4,4,3,1,3,3,4,2,3,4
3A3-2904-13,29/04/2026 13:33:08,Grupo 1,13,A,3,3,5,5,3,2,4,3,3,2,3,4
9A3-2904-13,29/04/2026 14:14:44,Grupo 1,13,A,9,3,3,3,4,2,4,4,3,2,4,4
9A3-3004-13,30/04/2026 10:59:56,Grupo 1,13,A,9,3,3,2,4,2,1,3,4,2,3,4
9A4-3004-18,30/04/2026 14:37:20,Grupo 1,18,A,9,4,3,5,2,1,3,4,3,3,1,1
3A1-3004-13,30/04/2026 15:51:00,Grupo 1,13,A,3,1,4,4,2,1,4,3,4,3,4,4
3A3-3004-13,30/04/2026 15:53:46,Grupo 1,13,A,3,3,3,4,4,1,3,3,2,1,2,3
3A1-3004-13,30/04/2026 16:03:42,Grupo 1,13,A,3,1,5,3,2,2,4,3,3,2,3,2
4A1-3004-13,30/04/2026 16:32:49,Grupo 1,13,A,4,1,1,4,4,2,4,4,3,2,4,4
3B2-3004-13,30/04/2026 16:34:23,Grupo 1,13,B,3,2,4,5,5,3,4,3,4,3,3,4
3A1-3004-13,30/04/2026 16:34:46,Grupo 1,13,A,3,1,3,4,3,2,4,2,3,1,1,1
3A2-3004-13,30/04/2026 16:37:37,Grupo 1,13,A,3,2,3,2,3,2,3,2,2,1,1,3
9A3-3004-18,30/04/2026 16:39:51,Grupo 1,18,A,9,3,3,4,3,2,4,2,3,1,2,3
9A3-3004-13,30/04/2026 16:40:00,Grupo 1,13,A,9,3,2,4,3,2,4,4,3,3,4,4
9A4-3004-13,30/04/2026 16:41:18,Grupo 1,13,A,9,4,4,3,2,2,4,2,2,1,1,2
9A3-3004-13,30/04/2026 16:41:24,Grupo 1,13,A,9,3,5,4,3,2,4,4,3,2,4,3
9A3-3004-13,30/04/2026 16:42:31,Grupo 1,13,A,9,3,3,4,4,2,5,3,4,1,3,3
3A1-3004-13,30/04/2026 16:43:18,Grupo 1,13,A,3,1,3,4,1,3,2,3,3,1,4,2
9A3-3004-09,30/04/2026 16:43:45,Grupo 1,09,A,9,3,3,4,4,2,4,4,4,2,3,4
3A1-3004-13,30/04/2026 16:44:21,Grupo 1,13,A,3,1,3,2,2,2,2,3,3,2,3,2
3A1-3004-13,30/04/2026 16:45:43,Grupo 1,13,A,3,1,2,4,3,2,3,3,3,2,3,3
9A1-3004-13,30/04/2026 16:58:10,Grupo 1,13,A,9,1,3,3,2,2,4,1,2,2,4,4
