Marca temporal,Grupo,¿En qué horario está llenando el formulario?,¿En qué torre se encuentra?,¿En qué piso se encuentra?,¿En qué piso se encuentra?,¿En qué piso se encuentra?,¿En qué ambiente se encuentra?,¿En qué ambiente se encuentra?,¿En qué ambiente se encuentra?,¿En qué ambiente se encuentra?,¿En qué ambiente se encuentra?,¿En qué ambiente se encuentra?,¿En qué ambiente se encuentra?,¿En qué ambiente se encuentra?,¿En qué ambiente se encuentra?,¿En qué ambiente se encuentra?,¿En qué ambiente se encuentra?,¿En qué ambiente se encuentra?,¿En qué ambiente se encuentra?,¿En qué ambiente se encuentra?,¿En qué ambiente se encuentra?,¿En qué ambiente se encuentra?,Nivel de presión sonora (dB),Frecuencia sonora,Temperatura ambiental,Nivel de iluminancia,Cantidad de luminarias (focos) funcionando,N° de personas presentes,Número de mobiliario disponible: Se toma el recurso principal o el paquete del recurso principal (cubículo (silla + mesa)),N° de tomacorrientes disponibles,Tipo de ventilación,Fuente principal de ruido,Fuente de luz,Propósito en la comunidad,Tipo de distractores no relacionados con su propósito
27/4/2026 10:13:02,Grupo 4,09,B,,5,,,,,,,,,,,,,,,,1,,52.8,281.25,22,503.35,94,62,"13 mesas son 10 sillas cada una, otras 6 mesas con solo 6 sillas 10 sillones",214,Mecánica (aire acondicionado),Charla de estudiantes,Mixta,Estudio,Auditivos
27/4/2026 17:37:28,Grupo 4,18,B,,5,,,,,,,,,,,,,,,,1,,58.7,118.64,22,496,194,154,No cambia,96,Mecánica (aire acondicionado),Charla de estudiantes,Mixta,Estudio,Tecnológicos
28/4/2026 9:12:19,Grupo 5,09,A,5,,,,,,,1,,,,,,,,,,,,137.4,77.31,22,17.39,0,14,31,62,Natural,Tráfico vehicular,Natural,Estudio,Auditivos
28/4/2026 9:26:07,Grupo 4,09,A,1,,,1,,,,,,,,,,,,,,,,79.2,369.15,22.5,276,194,24,36 mesas 6 cojines grandes,22,Mecánica (aire acondicionado),Charla de estudiantes,Artificial,Descanso,Auditivos
28/4/2026 9:29:58,Grupo 5,09,A,5,,,,,,,2,,,,,,,,,,,,144.16,165.04,24,2.12,0,15,14,5,Natural,Tráfico vehicular,Mixta,Estudio,Auditivos
28/4/2026 11:43:07,Grupo 6,09,A,10,,,,,,,,,,,,2,,,,,,,115.97,0.01,21,149.68,14,4,18,30,Mecánica (aire acondicionado),Pasillos,Mixta,Descanso,Tecnológicos
28/4/2026 11:46:37,Grupo 6,09,A,10,,,,,,,,,,,,1,,,,,,,118.99,0.02,21,146.68,11,10,24,28,Mecánica (aire acondicionado),Pasillos,Mixta,Estudio,Tecnológicos
28/4/2026 11:49:23,Grupo 6,09,A,11,,,,,,,,,,,,,3,,,,,,121.62,0.02,20,162.56,0,0,0,0,Natural,Tráfico vehicular,Natural,Tránsito,Auditivos
28/4/2026 13:16:48,Grupo 5,13,A,5,,,,,,,2,,,,,,,,,,,,130.56,138.67,23,28.1,8,14,16,4,Natural,Pasillos,Mixta,Estudio,Auditivos
28/4/2026 13:28:17,Grupo 5,13,A,5,,,,,,,1,,,,,,,,,,,,137.88,115.68,21,62.8,0,16,31,62,Natural,Charla de estudiantes,Natural,Estudio,Auditivos
28/4/2026 13:29:28,Grupo 4,13,A,8,,,,,,,,,,2,,,,,,,,,10dB,20dB,20,"100,5",10,14,24,30,Híbrida,Charla de estudiantes,Natural,Estudio,Auditivos
28/4/2026 14:29:56,Grupo 4,13,A,1,,,1,,,,,,,,,,,,,,,,161.6,1200,21,425.63,66,43,29,11,Híbrida,Charla de estudiantes,Artificial,Socialización,Auditivos
28/4/2026 14:44:04,Grupo 6,09,A,11,,,,,,,,,,,,,3,,,,,,-23.14,423.94,23.8,10960.988,0,4,3,3,Natural,Pasillos,Natural,Descanso,Tecnológicos
28/4/2026 14:54:47,Grupo 6,09,A,11,,,,,,,,,,,,,1,,,,,,-16.97,63.53,19.6,6534,0,5,"No exactamente sillas, pero hay butacas.",5,Natural,Charla de estudiantes,Natural,Descanso,Tecnológicos
28/4/2026 15:28:30,Grupo 6,13,A,11,,,,,,,,,,,,,1,,,,,,139.73,273.09,25,1976.88,0,16,1,4,Natural,Charla de estudiantes,Natural,Descanso,Tecnológicos
28/4/2026 15:32:56,Grupo 6,13,A,11,,,,,,,,,,,,,2,,,,,,126.13,205.55,25,1944.71,0,10,1,3,Natural,Charla de estudiantes,Natural,Descanso,Tecnológicos
28/4/2026 15:37:05,Grupo 6,13,A,11,,,,,,,,,,,,,3,,,,,,136.72,309.58,25,2293.45,0,9,1,2,Natural,Charla de estudiantes,Natural,Descanso,Tecnológicos
28/4/2026 15:38:03,Grupo 6,13,A,10,,,,,,,,,,,,1,,,,,,,119.81,0.02,22,3338.86,11,13,24,20,Mecánica (aire acondicionado),Charla de estudiantes,Mixta,Estudio,Tecnológicos
28/4/2026 15:39:32,Grupo 6,13,A,10,,,,,,,,,,,,2,,,,,,,118.98,0.03,22,0.03,14,14,18,30,Mecánica (aire acondicionado),Charla de estudiantes,Mixta,Descanso,Auditivos
28/4/2026 18:04:05,Grupo 5,18,A,5,,,,,,,2,,,,,,,,,,,,147.5,213.23,23,22.38,8,15,15,10,Natural,Pasillos,Artificial,Estudio,Auditivos
28/4/2026 18:14:22,Grupo 5,18,A,5,,,,,,,1,,,,,,,,,,,,155.3,288.22,23,103.8,6,21,31,62,Natural,Charla de estudiantes,Natural,Estudio,Auditivos
28/4/2026 18:31:17,Grupo 4,18,A,1,,,1,,,,,,,,,,,,,,,,141.7,12000,21,261.76,61,55,58,45,Mecánica (aire acondicionado),Charla de estudiantes,Artificial,Estudio,Auditivos
28/4/2026 18:31:18,Grupo 4,18,A,1,,,1,,,,,,,,,,,,,,,,141.7,12000,21,261.76,61,55,58,45,Mecánica (aire acondicionado),Charla de estudiantes,Artificial,Estudio,Auditivos
28/4/2026 21:13:34,Grupo 6,18,A,11,,,,,,,,,,,,,1,,,,,,132.32,256.58,19,138.86,3,5,1,4,Natural,Charla de estudiantes,Artificial,Descanso,Auditivos
28/4/2026 21:17:24,Grupo 6,18,A,11,,,,,,,,,,,,,3,,,,,,136.36,216.38,19,120.9,2,3,1,2,Natural,Charla de estudiantes,Artificial,Descanso,Auditivos
28/4/2026 21:20:49,Grupo 6,18,A,11,,,,,,,,,,,,,2,,,,,,129.44,232.81,19,113.6,3,6,1,4,Natural,Charla de estudiantes,Artificial,Descanso,Auditivos
29/4/2026 9:25:07,Grupo 5,09,B,,1,,,,,,,,,,,,,2,,,,,149.25,132.98,27,2551.51,0,10,24,0,Natural,Pasillos,Natural,Descanso,Auditivos
29/4/2026 9:27:05,Grupo 7,09,A,8,,,,,,,,,,3,,,,,,,,,55.23,198.55,NA,287,5,15,50,53,Híbrida,Charla de estudiantes,Mixta,Estudio,Tecnológicos
29/4/2026 9:33:50,Grupo 4,09,A,1,,,2,,,,,,,,,,,,,,,,135.58,12000,23,80,16,46,627,15,Mecánica (aire acondicionado),Charla de estudiantes,Artificial,Estudio,Tecnológicos
29/4/2026 10:00:57,Grupo 6,09,A,10,,,,,,,,,,,,1,,,,,,,"114,97","113,51",22,149.01,0,16,10,20,Híbrida,Pasillos,Natural,Estudio,Tecnológicos
29/4/2026 10:09:02,Grupo 3,09,A,2,,,,2,,,,,,,,,,,,,,,62,-44.5,24,324,3,35,45,4,Natural,Charla de estudiantes,,Socialización,Tecnológicos
29/4/2026 10:20:15,Grupo 3,13,A,2,,,,1,,,,,,,,,,,,,,,45,-34,23,400.45,4,35,30,6,Híbrida,Obras de construcción,Mixta,Descanso,Visuales
29/4/2026 10:34:06,Grupo 3,09,A,2,,,,2,,,,,,,,,,,,,,,-36,2,20,315,6,32,45,7,Híbrida,Charla de estudiantes,Mixta,Descanso,Tecnológicos
29/4/2026 10:38:52,Grupo 3,09,B,,2,,,,,,,,,,,,,,2,,,,-30,12,24,450,9,12,0,10,Híbrida,Charla de estudiantes,Mixta,Descanso,Tecnológicos
